accession,lat_parsed,lon_parsed,depth_parsed,depth2_parsed,is_transcriptome
ERR3586910,31.5213,-158.9958,5.0,5.0,1
ERR3586911,35.4002,-127.7499,45.0,45.0,1
ERR3586912,35.4002,-127.7499,45.0,45.0,1
ERR3586913,35.4002,-127.7499,45.0,45.0,1
ERR3586914,35.4002,-127.7499,45.0,45.0,1
ERR3586915,35.4002,-127.7499,45.0,45.0,1
ERR3586916,35.4002,-127.7499,45.0,45.0,1
ERR3586917,35.4002,-127.7499,45.0,45.0,1
ERR3586918,35.4002,-127.7499,45.0,45.0,1
ERR3586919,9.8481,-80.0454,5.0,5.0,1
ERR3586920,9.8481,-80.0454,5.0,5.0,1
ERR3586921,9.8481,-80.0454,5.0,5.0,1
ERR3586922,9.8481,-80.0454,5.0,5.0,1
ERR3586923,9.8481,-80.0454,5.0,5.0,1
ERR3586924,9.8481,-80.0454,5.0,5.0,1
ERR3586925,9.8481,-80.0454,5.0,5.0,1
ERR3586926,9.8481,-80.0454,5.0,5.0,1
ERR3586927,25.5264,-88.394,5.0,5.0,1
ERR3586928,25.5264,-88.394,5.0,5.0,1
ERR3586929,25.5264,-88.394,5.0,5.0,1
ERR3586930,25.5264,-88.394,5.0,5.0,1
ERR3586931,25.5264,-88.394,5.0,5.0,1
ERR3586933,25.5264,-88.394,5.0,5.0,1
ERR3586934,25.5264,-88.394,5.0,5.0,1
ERR3586935,17.4847,67.9997,75.0,75.0,1
ERR3586936,-0.6625,73.161,5.0,5.0,1
ERR3586937,-21.4966,56.9011,5.0,5.0,1
ERR3586938,-13.0833,46.971,5.0,5.0,1
ERR3586939,-12.807,45.2247,5.0,5.0,1
ERR3586940,-32.2401,17.7103,5.0,5.0,1
ERR3586941,-20.4091,-3.1759,5.0,5.0,1
ERR3586942,-20.4075,-3.1641,800.0,800.0,1
ERR3586943,-9.3,-9.5587,5.0,5.0,1
ERR3586944,-8.7789,-17.9099,5.0,5.0,1
ERR3586945,-8.7296,-17.9604,100.0,100.0,1
ERR3586946,-21.0292,-35.3498,150.0,150.0,1
ERR3586947,-20.9315,-35.1794,800.0,800.0,1
ERR3586948,-44.5342,-52.455,5.0,5.0,1
ERR3586949,-54.3739,-65.1342,5.0,5.0,1
ERR3586950,-64.3595,-53.0063,5.0,5.0,1
ERR3586951,-64.3183,-53.1081,35.0,35.0,1
ERR3586952,-63.8768,-56.0916,5.0,5.0,1
ERR3586953,-39.6466,-76.9634,5.0,5.0,1
ERR3586954,-34.161,-73.0995,5.0,5.0,1
ERR3586955,-33.6895,-71.998,5.0,5.0,1
ERR3586956,-34.0614,-73.1066,5.0,5.0,1
ERR3586957,-33.9116,-73.0537,35.0,35.0,1
ERR3586958,-0.0283,-84.5862,5.0,5.0,1
ERR3586959,0.0307,-84.612,40.0,40.0,1
ERR3586960,0.0063,-84.585,380.0,380.0,1
ERR3586961,27.16,34.835,5.0,5.0,1
ERR3586962,21.9467,38.2517,5.0,5.0,1
ERR3586963,17.5294,67.9576,5.0,5.0,1
ERR3586964,17.4825,67.9869,25.0,25.0,1
ERR3586965,17.4814,67.9947,50.0,50.0,1
ERR3586966,17.4831,68.0026,105.0,105.0,1
ERR3586967,17.4855,68.0247,285.0,285.0,1
ERR3586968,6.0001,73.8955,5.0,5.0,1
